range,area,unit
"东临地质花园，西临锦都馨苑小区，南临文德路，北至中环路八里庄路段,,,",成华区,成都易欣房屋拆迁有限公司
"东临地质花园，西临锦都馨苑小区，南临文德路，北至中环路八里庄路段,,,",成华区,成都卓众拆迁服务有限公司
"东临地质花园，西临锦都馨苑小区，南临文德路，北至中环路八里庄路段,,,",成华区,成都成华棚户区惠民改造建设有限责任公司
"已整空地,华天阳光,东升苑,槐树店路规划红线范围内",成华区,成都长衡置业有限公司
"已整空地,华天阳光,东升苑,槐树店路规划红线范围内",成华区,成都南森房屋拆迁有限公司
"已整空地,华天阳光,东升苑,槐树店路规划红线范围内",成华区,成都市兴市政房屋拆迁有限公司
"已整空地,华天阳光,东升苑,槐树店路规划红线范围内",成华区,成都成华棚户区惠民改造建设有限责任公司
"土龙路以西，双温路以东，银桥街两侧范围（项目规划范围内）,,,",双流区,双流兴城置业有限公司
"土龙路以西，双温路以东，银桥街两侧范围（项目规划范围内）,,,",双流区,成都凯翔房屋拆迁有限公司
"天仙桥北路。,东顺城南街。,流星花园。,总府花园。",锦江区,成都市锦江区危旧房改造中心
"五块石新社区5组空地,赛云台北支路,泰丰花园小区,教师宿舍活动用房",成华区,四川元昌投资管理有限公司
"五块石新社区5组空地,赛云台北支路,泰丰花园小区,教师宿舍活动用房",成华区,成都市金牛区人民政府五块石街道办事处
"驷马桥果品市场,平安村集体土地,川报纸库,驷马桥路",成华区,成都市唯益投资有限公司
"驷马桥果品市场,平安村集体土地,川报纸库,驷马桥路",成华区,成都成华棚户区惠民改造建设有限责任公司
"西、北向临府河，东临科创路，南临蓝光凯丽香江,,,",锦江区,成都市锦江区危旧房改造中心
"西、北向临府河，东临科创路，南临蓝光凯丽香江,,,",锦江区,成都金利房屋拆迁服务有限公司
"东至：公平街办红桥村六组沥青路    西至：公平街办红桥村六组空地                               南至：公平街办红桥村村民委员会    北至：公平街办红桥村六组空地,,,",温江区,成都市温江区房产管理局
"东起龙门街口，西至电力公宿舍（未含），北至金带街，南至规划自建房,,,",崇州市,崇州市蜀城房屋拆迁有限公司
"崇庆中路,仁和巷,团结里,团结里",锦江区,崇州市豪威房屋拆迁有限公司
"崇庆中路,仁和巷,团结里,团结里",锦江区,崇州市蜀城房屋拆迁有限公司
"崇庆中路,团结里,团结里,原蚕茧站",锦江区,崇州市豪威房屋拆迁有限公司
"崇庆中路,团结里,团结里,原蚕茧站",锦江区,崇州市蜀城房屋拆迁有限公司
"团结里,小东街,武警横街,外江管理处",锦江区,崇州市蜀城房屋拆迁有限公司
"团结里,小东街,武警横街,外江管理处",锦江区,成都市鑫城锦地房屋拆迁有限公司
"小东街背面,孔子广场,文庙街,公园后门",锦江区,崇州市蜀城房屋拆迁有限公司
"小东街背面,孔子广场,文庙街,公园后门",锦江区,四川敞居屋房屋拆迁有限公司
"行知中学,小东街,行知中学大门,武警横街",锦江区,崇州市蜀城房屋拆迁有限公司
"行知中学,小东街,行知中学大门,武警横街",锦江区,四川敞居屋房屋拆迁有限公司
"北临规划道路，南临永安西路、东至杨柳街、西至鼎力汽车修理厂一侧住宅区域,,,",崇州市,崇州市蜀城房屋拆迁有限公司
"槐树店路37号五冶宿舍区,建材路,大头河,槐树店路规划红线范围内",成华区,成都兴力置业有限公司
"槐树店路37号五冶宿舍区,建材路,大头河,槐树店路规划红线范围内",成华区,四川梓鑫置业有限公司
"槐树店路37号五冶宿舍区,建材路,大头河,槐树店路规划红线范围内",成华区,成都易欣房屋拆迁有限公司
"槐树店路37号五冶宿舍区,建材路,大头河,槐树店路规划红线范围内",成华区,成都卓众拆迁服务有限公司
"槐树店路37号五冶宿舍区,建材路,大头河,槐树店路规划红线范围内",成华区,四川诺亚舟房屋拆迁有限公司
"槐树店路37号五冶宿舍区,建材路,大头河,槐树店路规划红线范围内",成华区,成都嘉义房屋拆迁有限责任公司
"槐树店路37号五冶宿舍区,建材路,大头河,槐树店路规划红线范围内",成华区,四川天佑福成房屋拆迁有限公司
"槐树店路37号五冶宿舍区,建材路,大头河,槐树店路规划红线范围内",成华区,成都市鑫城锦地房屋拆迁有限公司
"槐树店路37号五冶宿舍区,建材路,大头河,槐树店路规划红线范围内",成华区,成都成华棚户区惠民改造建设有限责任公司
"东至站北东横街，南至火车北站，西至休闲商业街，北至规划道路,,,",成华区,四川梓鑫置业有限公司
"东至站北东横街，南至火车北站，西至休闲商业街，北至规划道路,,,",成华区,成都长阳拆迁服务有限公司
"东至站北东横街，南至火车北站，西至休闲商业街，北至规划道路,,,",成华区,成都成华棚户区惠民改造建设有限责任公司
"大东街,黄坝大桥,土地坡,南河",邛崃市,邛崃市住房保障中心
"防疫站宿舍,猛追湾街,五冶宿舍,新鸿路",成华区,成都成华棚户区惠民改造建设有限责任公司
"电子十一院电力分院,猛追湾街,双林路,电信宿舍",成华区,成都市唯益投资有限公司
"电子十一院电力分院,猛追湾街,双林路,电信宿舍",成华区,成都弘仁建设投资有限公司
"电子十一院电力分院,猛追湾街,双林路,电信宿舍",成华区,成都易欣房屋拆迁有限公司
"电子十一院电力分院,猛追湾街,双林路,电信宿舍",成华区,成都为益民房屋拆迁有限公司
"电子十一院电力分院,猛追湾街,双林路,电信宿舍",成华区,四川诺亚舟房屋拆迁有限公司
"电子十一院电力分院,猛追湾街,双林路,电信宿舍",成华区,成都市鑫城锦地房屋拆迁有限公司
"电子十一院电力分院,猛追湾街,双林路,电信宿舍",成华区,成都成华棚户区惠民改造建设有限责任公司
"五桂桥北路,双成五路,工地小区,云祥公寓",成华区,成都经开实业有限公司
"五桂桥北路,双成五路,工地小区,云祥公寓",成华区,成都力汇诚投资有限公司
"五桂桥北路,双成五路,工地小区,云祥公寓",成华区,成都众志房屋拆迁有限公司
"五桂桥北路,双成五路,工地小区,云祥公寓",成华区,四川永恒建筑劳务有限公司
"五桂桥北路,双成五路,工地小区,云祥公寓",成华区,四川鑫泉房屋拆迁有限公司
"五桂桥北路,双成五路,工地小区,云祥公寓",成华区,四川诺亚舟房屋拆迁有限公司
"五桂桥北路,双成五路,工地小区,云祥公寓",成华区,成都嘉义房屋拆迁有限责任公司
"五桂桥北路,双成五路,工地小区,云祥公寓",成华区,成都市民之建房屋拆迁有限公司
"五桂桥北路,双成五路,工地小区,云祥公寓",成华区,成都成华棚户区惠民改造建设有限责任公司
"北至双林北横路129号用地边界，东至万年场横街，南至双林北横路127号用地边界，西至水利设计院家属区用地边界。,,,",成华区,成都金利房屋拆迁服务有限公司
"北至双林北横路129号用地边界，东至万年场横街，南至双林北横路127号用地边界，西至水利设计院家属区用地边界。,,,",成华区,成都成华旧城改造投资有限责任公司
"新津县迎宾大道136号,,,",新津县,成都城建置业有限责任公司
"中和后街66-82号、熊家桥路2-44号、中和上街130-138号、中和中街2-4号,,,",高新区,成都易迁公关服务有限公司
"迎宾广场片区,,,",新津县,成都城建置业有限责任公司
"人南医疗综合诊所,玉林街9号,倪家桥路,成都有机硅中心宿舍",武侯区,成都市建西投资管理有限公司
"人南医疗综合诊所,玉林街9号,倪家桥路,成都有机硅中心宿舍",武侯区,成都市武侯区危旧房改造中心
"原512建材市场,现状中石油加油站,二环路北四段,416宿舍",成华区,成都经开实业有限公司
"原512建材市场,现状中石油加油站,二环路北四段,416宿舍",成华区,成都嘉义房屋拆迁有限责任公司
"原512建材市场,现状中石油加油站,二环路北四段,416宿舍",成华区,成都成华棚户区惠民改造建设有限责任公司
"东邻锦华路，南邻市土地储备中心空地，西邻原川专厂厂区，北邻百亨酒店,,,",锦江区,成都市锦江区危旧房改造中心
"南阳锦城,府河路一段,尚善雅舍,正东中街",天府新区,成都天府新区华阳街道办事处
"新东方校区,猛追湾街,69信箱生活区新建宿舍区,猛追湾横街规划红线范围内",成华区,成都南森房屋拆迁有限公司
"新东方校区,猛追湾街,69信箱生活区新建宿舍区,猛追湾横街规划红线范围内",成华区,成都心新物业管理有限公司
"新东方校区,猛追湾街,69信箱生活区新建宿舍区,猛追湾横街规划红线范围内",成华区,成都易欣房屋拆迁有限公司
"新东方校区,猛追湾街,69信箱生活区新建宿舍区,猛追湾横街规划红线范围内",成华区,四川诺亚舟房屋拆迁有限公司
"新东方校区,猛追湾街,69信箱生活区新建宿舍区,猛追湾横街规划红线范围内",成华区,成都成华棚户区惠民改造建设有限责任公司
"一环路,猛追湾街,猛追湾横街,建设北路规划红线范围内",成华区,四川梓鑫置业有限公司
"一环路,猛追湾街,猛追湾横街,建设北路规划红线范围内",成华区,成都市唯益投资有限公司
"一环路,猛追湾街,猛追湾横街,建设北路规划红线范围内",成华区,成都阳广达置业有限公司
"一环路,猛追湾街,猛追湾横街,建设北路规划红线范围内",成华区,成都长阳拆迁服务有限公司
"一环路,猛追湾街,猛追湾横街,建设北路规划红线范围内",成华区,成都城建置业有限责任公司
"一环路,猛追湾街,猛追湾横街,建设北路规划红线范围内",成华区,成都弘仁建设投资有限公司
"一环路,猛追湾街,猛追湾横街,建设北路规划红线范围内",成华区,成都卓众拆迁服务有限公司
"一环路,猛追湾街,猛追湾横街,建设北路规划红线范围内",成华区,成都为益民房屋拆迁有限公司
"一环路,猛追湾街,猛追湾横街,建设北路规划红线范围内",成华区,四川天佑福成房屋拆迁有限公司
"一环路,猛追湾街,猛追湾横街,建设北路规划红线范围内",成华区,成都市鑫城锦地房屋拆迁有限公司
"一环路,猛追湾街,猛追湾横街,建设北路规划红线范围内",成华区,成都成华棚户区惠民改造建设有限责任公司
"齐心苑,电信宿舍,五冶宿舍,新鸿路",成华区,成都成华棚户区惠民改造建设有限责任公司
"依政路,西郊路,瑞云街,啤酒厂南侧围墙",邛崃市,邛崃市住房保障中心
"依政路,河滨路,火电厂宿舍,瑞云街",邛崃市,邛崃市住房保障中心
"机关幼儿园西侧围墙,西环路,司法局宿舍和教育局宿舍北侧围墙,西街",邛崃市,邛崃市住房保障中心
"汽运司,果品市场,煤建公司,燃料公司",成华区,成都城建置业有限责任公司
"汽运司,果品市场,煤建公司,燃料公司",成华区,成都心新物业管理有限公司
"汽运司,果品市场,煤建公司,燃料公司",成华区,成都成华棚户区惠民改造建设有限责任公司
"一环路西三段169号至207号、抚琴街南一巷13号附11号、抚琴街南一巷11号1幢附1号、抚琴街南一巷13号附9号,小区道路,抚琴北二巷,抚琴街",成华区,四川蓉业房屋拆迁有限公司
"东至建材路，南至工投已整理土地，西至工投已整理土地，北至槐树店路,,,",成华区,成都成华棚户区惠民改造建设有限责任公司
"成华区二仙桥东路南侧规划红线范围内,,,",成华区,成都祥鹤房屋拆迁有限公司
"成华区二仙桥东路南侧规划红线范围内,,,",成华区,成都成华旧城改造投资有限责任公司
"祥和苑,武阳南路,东顺河街,外东街",新津县,成都金利房屋拆迁服务有限公司
"公济桥路147-203号、新民路1-27号,,,",高新区,成都易迁公关服务有限公司
"主要包括化工北路以东邮电巷区域,,,",青白江区,四川天丰置业有限公司
"新川创新科技园V支3线、VI支C线北段、X支5线、X支B线道路及附属工程项目规划用地红线范围内,,,",高新区,成都鑫宇房屋拆迁有限公司
"成都市成华区圣灯路31号,成都市成华区圣灯路31号,成都市成华区圣灯路31号,成都市成华区圣灯路31号",高新区,成都鑫宇房屋拆迁有限公司
"成都市成华区圣灯路31号,成都市成华区圣灯路31号,成都市成华区圣灯路31号,成都市成华区圣灯路31号",高新区,成都市跃华房屋经营开发有限公司
"农发局片区位于龙泉街道音乐广场西侧，东至广场路；交通局片区位于音乐广场南侧，欧鹏大道西侧,驿生西路,驿生南路,驿都东路",龙泉驿区,成都经济技术开发区建设发展有限公司
"瑞通路,瑞园路,太康东路,迎宾大道",新津县,成都城建置业有限责任公司
"新津县城北社区,,,",新津县,成都城建置业有限责任公司
"基督教堂上翔堂和广电大厦,东华门街,东华正街,青羊区拟搬迁地块",锦江区,成都市锦江区危旧房改造中心
"蓝风宿舍,,,",青白江区,四川天丰置业有限公司
"攀成钢八千小区,,,",青白江区,成都弘仁建设投资有限公司
"主要包括青江南路以东、青江东路以南、化工北（南）路以西、团结东路以北区域，及青江南路西侧、化工北（南）路东侧紧邻道路的零星区域,,,",青白江区,四川天丰置业有限公司
"主要包括团结北路以东、青江西路以南、青江南路以西、团结中路以北区域（不含攀成钢八千小区、蓝风宿舍、青江南路西侧紧邻道路区域），以及团结北路西侧紧邻道路的部分区域,,,",青白江区,成都弘仁建设投资有限公司
"电厂宿舍,武阳东路,电厂沟,五津东路",新津县,成都城建置业有限责任公司
"东至四川水利技术职业学院，南至鲤鱼沱水厂，西至康复路上街，北至复兴路,,,",新津县,都江堰市危旧房改造中心
"主要包括青江西路以南，团结北路以西，团结西路以北的部分区域，以及团结西路以南紧邻道路的部分区域,,,",青白江区,成都弘仁建设投资有限公司
"成都市成华区建设北路三段72号,成都市成华区建设北路三段72号,成都市成华区建设北路三段72号,成都市成华区建设北路三段72号",青白江区,成都鑫宇房屋拆迁有限公司
"成都市成华区建设北路三段72号,成都市成华区建设北路三段72号,成都市成华区建设北路三段72号,成都市成华区建设北路三段72号",青白江区,成都市跃华房屋经营开发有限公司
"已拆空地,一心桥南街,东四街,锦东路",锦江区,成都市锦江区危旧房改造中心
"领域楼盘,国槐街,东锦置业公司地块,上沙河铺街",锦江区,成都市锦江区房屋管理服务中心
"领域楼盘,国槐街,东锦置业公司地块,上沙河铺街",锦江区,四川天佑福成房屋拆迁有限公司
"崔家店路,新成华大道,规划道路,成都理工大学五交路口",成华区,成都市兴市政房屋拆迁有限公司
"崔家店路,新成华大道,规划道路,成都理工大学五交路口",成华区,成都成华旧城改造投资有限责任公司
"主要包括化工北路、化工南路两侧的部分区域及青江南路东侧紧邻道路的零星区域,,,",青白江区,四川天丰置业有限公司
"东至普天电缆厂南至普天电缆厂西至神仙树北路北至商贸中心,,,",高新区,成都凯翔房屋拆迁有限公司
"东至多乐惠市场南至紫薇东路西至神仙树南路北至多乐惠市场,,,",高新区,成都力汇诚投资有限公司
"康复路,康复路都管局苗圃,康复路下街,康复路",高新区,都江堰城乡房产管理局
"东至天乙街,西至康复路上街,南至市政府家属区,北至农商银行",都江堰市,都江堰市危旧房改造中心
"一环路西二段,摸底河,省医院现状建筑,北临温哥华广场",青羊区,成都市青羊区房管局
"一环路西二段,摸底河,省医院现状建筑,北临温哥华广场",青羊区,成都市鑫城锦地房屋拆迁有限公司
"龙泉驿区洪安镇化工大道两侧危化品园区周围500m范围内,,,",龙泉驿区,成都经开实业有限公司
"龙泉驿区洪安镇化工大道两侧危化品园区周围500m范围内,,,",龙泉驿区,成都经济技术开发区建设发展有限公司
"空地,滨江路,皮革厂宿舍,啤酒厂",邛崃市,邛崃市住房保障中心
"东至普天电缆厂南至神仙树农贸市场西至神仙树北路北至普康医院,,,",高新区,成都凯翔房屋拆迁有限公司
"庆宪街80号,通锦桥路109号,庆宪街88号,饮马河",青羊区,成都市青羊区统一建设办公室
"东至大邑大道，南至惠昌花园小区，西至凯蒂凯旋城小区，北至温泉大道,,,",大邑县,大邑县房产管理局
"黄鹤楼,银仙桥,石头河,黄鹤大道右侧",新津县,成都长衡置业有限公司
"一环路西三段108号附1-6号、一环路西三段144号、一环路西三段3号附1-15号,,,",高新区,成都金开房屋经营管理有限公司
"二仙桥东路14号,,,",高新区,四川景瑞建筑工程有限公司
"二仙桥东路14号,,,",高新区,成都市跃华房屋经营开发有限公司
"都江村,都江村,都江村,都江村",都江堰市,都江堰城乡房产管理局
"沙黑河,都江村,西区水厂,磨儿滩水库",都江堰市,都江堰城乡房产管理局
"高新区新川创新科技园国有土地上规划红线范围内房屋,高新区新川创新科技园国有土地上规划红线范围内房屋,高新区新川创新科技园国有土地上规划红线范围内房屋,高新区新川创新科技园国有土地上规划红线范围内房屋",高新区,成都鑫宇房屋拆迁有限公司
"高新区新川创新科技园国有土地上规划红线范围内房屋,高新区新川创新科技园国有土地上规划红线范围内房屋,高新区新川创新科技园国有土地上规划红线范围内房屋,高新区新川创新科技园国有土地上规划红线范围内房屋",高新区,成都鑫宇房屋拆迁有限公司
"高新区新川创新科技园国有土地上规划红线范围内房屋,高新区新川创新科技园国有土地上规划红线范围内房屋,高新区新川创新科技园国有土地上规划红线范围内房屋,高新区新川创新科技园国有土地上规划红线范围内房屋",高新区,成都鑫宇房屋拆迁有限公司
"高新区新川创新科技园国有土地上规划红线范围内房屋,高新区新川创新科技园国有土地上规划红线范围内房屋,高新区新川创新科技园国有土地上规划红线范围内房屋,高新区新川创新科技园国有土地上规划红线范围内房屋",高新区,成都鑫宇房屋拆迁有限公司
"高新区新川创新科技园国有土地上规划红线范围内房屋,高新区新川创新科技园国有土地上规划红线范围内房屋,高新区新川创新科技园国有土地上规划红线范围内房屋,高新区新川创新科技园国有土地上规划红线范围内房屋",高新区,成都鑫宇房屋拆迁有限公司
"高新区新川创新科技园国有土地上规划红线范围内房屋,高新区新川创新科技园国有土地上规划红线范围内房屋,高新区新川创新科技园国有土地上规划红线范围内房屋,高新区新川创新科技园国有土地上规划红线范围内房屋",高新区,成都鑫宇房屋拆迁有限公司
"川金府机电城,三环路内侧,金牛大道北侧,川金府机电城",高新区,成都金利房屋拆迁服务有限公司
"川金府机电城,三环路内侧,金牛大道北侧,川金府机电城",高新区,成都市金牛区人民政府西华街道办事处
"三环路外侧绿化带,跃进村居住区中心分界道路,金牛大道,金桥学校交界",高新区,成都阳广达置业有限公司
"三环路外侧绿化带,跃进村居住区中心分界道路,金牛大道,金桥学校交界",高新区,成都市金牛区人民政府西华街道办事处
"康复路党校区域、天乙街华峰大厦、天乙街成勘院至团结巷部分区域,,,",高新区,都江堰市危旧房改造中心
"金芙蓉大道,规划路,金泉路,盛达街东",高新区,成都精策投资有限公司
"金芙蓉大道,规划路,金泉路,盛达街东",高新区,成都市鑫地建设投资有限责任公司
"火车北站扩能改造地方配套项目商贸大道二环路以南附条件协议搬迁项目红线范围内,,,",高新区,成都精策投资有限公司
"火车北站扩能改造地方配套项目商贸大道二环路以南附条件协议搬迁项目红线范围内,,,",高新区,成都市鑫地建设投资有限责任公司
"东临比华利国际城，南临华润凯旋天地，西临菱窠路，北临嘉和园用地边界,,,",高新区,四川中化锦城置业有限公司
"东临比华利国际城，南临华润凯旋天地，西临菱窠路，北临嘉和园用地边界,,,",高新区,四川天佑福成房屋拆迁有限公司
"庆宪街80号,通锦桥路109号,庆宪街88号,饮马河",青羊区,成都市青羊区统一建设办公室
"天乙街,康复路上街,康复路,公园路",青羊区,都江堰市危旧房改造中心
"东安南路,红星路二段,大慈寺路,如是庵街、福字街、望福街",锦江区,成都祥鹤房屋拆迁有限公司
"东安南路,红星路二段,大慈寺路,如是庵街、福字街、望福街",锦江区,成都金利房屋拆迁服务有限公司
"东安南路,红星路二段,大慈寺路,如是庵街、福字街、望福街",锦江区,成都市兴市政房屋拆迁有限公司
"互助路,顺沙巷,一环路北三段,先锋巷",金牛区,成都市金牛区人民政府荷花池街道办事处
"临江路7号道路,成昆线铁路,新建双流车站,昆华路南段",高新区,成都众志房屋拆迁有限公司
